"id"	"governement_work"	"occupation"	"capital_gain"	"capital_loss"	"hours_per_week"
"139"	936	"Private"	"Other service"	0	0	20
"140"	944	"Private"	"Adm clerical"	0	0	20
"141"	955	"Private"	"Adm clerical"	0	0	20
"142"	965	"Private"	"Other service"	0	0	20
"143"	1048	"Self emp inc"	"Sales"	0	0	20
"144"	1056	"Private"	"Prof specialty"	1848	0	20
"145"	1103	"Private"	"Sales"	0	0	20
"146"	1109	"Local gov"	"Adm clerical"	594	0	20
"147"	1147	"Private"	"Sales"	0	0	20
"148"	1175	NA	NA	0	0	20
"149"	1198	"Local gov"	"Adm clerical"	0	0	20
"150"	1204	"Self emp not inc"	"Sales"	0	0	20
"151"	1233	"Private"	"Sales"	0	0	20
"152"	1234	"Private"	"Sales"	0	0	20
"153"	1279	NA	NA	0	0	20
"154"	1358	"Private"	"Machine op inspct"	0	0	20
"155"	1369	"Private"	"Sales"	0	0	20
"156"	1376	"Private"	"Other service"	0	0	20
"157"	1557	"State gov"	"Prof specialty"	0	0	20
"158"	1580	"Private"	"Other service"	0	0	20
"159"	1583	"Private"	"Adm clerical"	0	0	20
"160"	1601	"Private"	"Sales"	0	0	20
"161"	1617	NA	NA	0	0	20
"162"	1633	NA	NA	0	0	20
"163"	1696	"Private"	"Transport moving"	0	0	20
"164"	1716	"State gov"	"Prof specialty"	0	0	20
"165"	1743	"Private"	"Exec managerial"	0	0	20
"166"	1768	"Private"	"Other service"	0	0	20
"167"	1786	"Private"	"Other service"	0	0	20
"168"	1806	"Self emp inc"	"Other service"	0	0	20
"169"	1816	"State gov"	"Tech support"	0	0	20
"170"	1829	"Private"	"Machine op inspct"	0	0	20
"171"	1874	"Private"	"Other service"	0	0	20
"172"	1890	"Private"	"Prof specialty"	0	0	20
"173"	1900	"State gov"	"Prof specialty"	0	0	20
"174"	1904	"State gov"	"Prof specialty"	0	0	20
"175"	1919	"Self emp not inc"	"Sales"	0	0	20
"176"	1937	"Private"	"Handlers cleaners"	0	0	20
"177"	1977	NA	NA	0	0	20
"178"	1984	"State gov"	"Prof specialty"	0	0	20
"179"	2007	"Private"	"Other service"	0	0	20
"180"	2033	"Private"	"Handlers cleaners"	0	0	20
"181"	2051	"Self emp not inc"	"Exec managerial"	7688	0	20
"182"	2122	NA	NA	0	0	20
"183"	2161	"Private"	"Machine op inspct"	0	0	20
"184"	2194	"Private"	"Handlers cleaners"	0	0	20
"185"	2197	"Private"	"Handlers cleaners"	0	0	20
"186"	2230	"Private"	"Prof specialty"	0	0	20
"187"	2261	"Private"	"Sales"	0	0	20
"188"	2315	"Private"	"Other service"	0	0	20
"189"	2321	"Private"	"Other service"	0	0	20
"190"	2430	"Local gov"	"Adm clerical"	0	0	20
"191"	2451	NA	NA	0	419	20
"192"	2542	NA	NA	3942	0	20
"193"	2550	"Private"	"Adm clerical"	0	0	20
"194"	2562	"Private"	"Prof specialty"	0	0	20
"195"	121	NA	NA	0	0	21
"196"	171	"Private"	"Machine op inspct"	0	0	21
"197"	379	"Private"	"Machine op inspct"	0	0	21
"198"	651	"Private"	"Prof specialty"	0	0	21
"199"	830	"Private"	"Other service"	0	0	21
"200"	1115	"Private"	"Other service"	0	0	21
"201"	1314	NA	NA	0	0	22
"202"	2382	"Private"	"Sales"	0	0	22
"203"	1145	"Private"	"Other service"	0	0	23
"204"	27	NA	NA	0	0	24
"205"	307	"Private"	"Other service"	0	0	24
"206"	377	"Private"	"Sales"	0	0	24
"207"	383	"Private"	"Adm clerical"	0	0	24
"208"	416	"Private"	"Adm clerical"	0	0	24
"209"	500	"Private"	"Farming fishing"	0	0	24
"210"	538	"Private"	"Farming fishing"	41310	0	24
"211"	650	"Private"	"Handlers cleaners"	0	0	24
"212"	771	"Private"	"Other service"	0	0	24
"213"	789	NA	NA	0	0	24
"214"	1077	"Private"	"Protective serv"	0	0	24
"215"	1079	"Private"	"Priv house serv"	0	1594	24
"216"	1226	"Private"	"Adm clerical"	0	0	24
"217"	1245	"Private"	"Sales"	0	0	24
"218"	1378	"Private"	"Handlers cleaners"	9386	0	24
"219"	1483	"Private"	"Machine op inspct"	0	0	24
"220"	1537	"Private"	"Other service"	0	0	24
"221"	1646	"Private"	"Other service"	0	0	24
"222"	1719	NA	NA	0	0	24
"223"	1725	"Private"	"Other service"	0	0	24
"224"	1927	"Private"	"Adm clerical"	0	0	24
"225"	1979	"Private"	"Machine op inspct"	0	0	24
"226"	1992	"Private"	"Adm clerical"	0	0	24
"227"	2025	"Private"	"Exec managerial"	0	0	24
"228"	2329	"Self emp not inc"	"Craft repair"	2635	0	24
"229"	2464	"Private"	"Other service"	0	0	24
"230"	2483	"Private"	"Prof specialty"	0	0	24
"231"	2496	"Private"	"Adm clerical"	0	0	24
"232"	2587	"Private"	"Priv house serv"	0	0	24
"233"	2655	"Private"	"Machine op inspct"	0	0	24
"234"	35	"Private"	"Other service"	0	0	25
"235"	145	"State gov"	"Prof specialty"	0	0	25
"236"	176	"Private"	"Protective serv"	0	0	25
"237"	183	"Self emp not inc"	"Farming fishing"	0	0	25
"238"	203	"Self emp not inc"	"Other service"	0	0	25
"239"	211	"Private"	"Other service"	0	0	25
"240"	259	"Private"	"Other service"	0	0	25
"241"	347	"Private"	"Tech support"	0	0	25
"242"	470	"Private"	"Other service"	0	0	25
"243"	496	"Private"	"Adm clerical"	0	0	25
"244"	553	"Private"	"Priv house serv"	0	0	25
"245"	567	"Private"	"Other service"	0	0	25
"246"	594	"Private"	"Craft repair"	0	0	25
"247"	599	"Private"	"Other service"	0	0	25
"248"	625	"Private"	"Transport moving"	0	0	25
"249"	633	"Private"	"Other service"	0	0	25
"250"	649	"Private"	"Sales"	0	0	25
"251"	709	"Private"	"Sales"	0	0	25
"252"	755	"Private"	"Handlers cleaners"	0	0	25
"253"	827	"Private"	"Sales"	0	0	25
"254"	882	"Private"	"Other service"	0	0	25
"255"	913	"Private"	"Other service"	0	0	25
"256"	929	"Private"	"Sales"	0	0	25
"257"	975	"Private"	"Sales"	0	0	25
"258"	1039	"Private"	"Other service"	0	0	25
"259"	1072	"Private"	"Other service"	0	0	25
"260"	1093	NA	NA	0	0	25
"261"	1113	"Private"	"Sales"	0	0	25
"262"	1157	"Private"	"Other service"	0	0	25
"263"	1171	"Private"	"Other service"	0	0	25
"264"	1177	"Private"	"Other service"	0	0	25
"265"	1432	"Private"	"Other service"	0	0	25
"266"	1563	"Private"	"Adm clerical"	0	0	25
"267"	1587	"Private"	"Other service"	0	0	25
"268"	1656	"Private"	"Other service"	0	0	25
"269"	1671	"Private"	"Other service"	0	0	25
"270"	1695	"Self emp not inc"	"Craft repair"	0	0	25
"271"	1723	NA	NA	0	0	25
"272"	1820	"Private"	"Adm clerical"	0	0	25
"273"	1936	NA	NA	0	0	25
"274"	2032	NA	NA	0	2163	25
"275"	2035	"Private"	"Other service"	0	0	25
"276"	2067	"Private"	"Prof specialty"	0	0	25
"277"	2082	"Private"	"Farming fishing"	0	0	25
"278"	2193	"Private"	"Adm clerical"	0	0	25
"279"	2226	"Private"	"Sales"	0	0	25
"280"	2262	"Self emp not inc"	"Handlers cleaners"	0	0	25
"281"	2370	NA	NA	0	0	25
"282"	2389	"Private"	"Other service"	0	0	25
"283"	2400	"Private"	"Craft repair"	0	0	25
"284"	2402	"Private"	"Sales"	0	0	25
"285"	2453	"Private"	"Farming fishing"	0	0	25
"286"	2474	"Private"	"Other service"	0	0	25
"287"	2634	"Private"	"Other service"	0	0	25
"288"	2638	"Private"	"Transport moving"	0	0	25
"289"	676	"Private"	"Sales"	0	0	26
"290"	873	"Private"	"Sales"	0	0	26
"291"	636	"Private"	"Other service"	0	0	27
"292"	971	"Private"	"Prof specialty"	0	0	27
"293"	212	"Local gov"	"Prof specialty"	0	0	28
"294"	334	"Private"	"Priv house serv"	0	0	28
"295"	1114	"Private"	"Machine op inspct"	0	0	28
"296"	1186	"Private"	"Other service"	0	0	28
"297"	1619	"Private"	"Handlers cleaners"	0	0	28
"298"	1753	NA	NA	0	0	28
"299"	1765	"Private"	"Sales"	0	0	28
"300"	15	"Private"	"Other service"	0	0	30
"301"	34	"Private"	"Sales"	0	0	30
"302"	65	"Private"	"Sales"	0	0	30
"303"	100	"Self emp not inc"	"Other service"	0	0	30
"304"	108	"Private"	"Other service"	0	0	30
"305"	229	"Private"	"Tech support"	0	0	30
"306"	239	"Private"	"Handlers cleaners"	2829	0	30
"307"	280	"Private"	"Handlers cleaners"	0	0	30
"308"	304	"Private"	"Prof specialty"	0	0	30
"309"	320	"Private"	"Other service"	0	0	30
"310"	343	"Federal gov"	"Other service"	0	0	30
"311"	373	"Private"	"Craft repair"	0	0	30
"312"	387	"Private"	"Adm clerical"	0	0	30
"313"	393	"Private"	"Other service"	0	0	30
"314"	407	"Private"	"Machine op inspct"	0	0	30
"315"	422	"State gov"	"Prof specialty"	0	0	30
"316"	426	"Private"	"Other service"	0	0	30
"317"	447	"Private"	"Handlers cleaners"	0	0	30
"318"	457	"Private"	"Machine op inspct"	0	0	30
"319"	507	"Private"	"Adm clerical"	0	0	30
"320"	525	"Self emp inc"	"Exec managerial"	15024	0	30
"321"	559	"Private"	"Farming fishing"	0	0	30
"322"	696	"Private"	"Other service"	0	0	30
"323"	725	"Private"	"Exec managerial"	0	0	30
"324"	750	"Private"	"Other service"	0	0	30
"325"	766	"Self emp inc"	"Other service"	0	0	30
"326"	798	NA	NA	0	0	30
"327"	841	"Private"	"Priv house serv"	0	0	30
"328"	867	"Private"	"Machine op inspct"	0	0	30
"329"	892	"Private"	"Sales"	0	0	30
"330"	942	NA	NA	5178	0	30
"331"	952	"Private"	"Adm clerical"	0	0	30
"332"	956	"Private"	"Craft repair"	0	0	30
"333"	1004	"Private"	"Machine op inspct"	0	0	30
"334"	1020	NA	NA	0	0	30
"335"	1036	"Federal gov"	"Adm clerical"	0	0	30
"336"	1038	"Private"	"Adm clerical"	0	0	30
"337"	1065	"Private"	"Sales"	0	0	30
"338"	1073	"Private"	"Sales"	0	0	30
"339"	1180	"Private"	"Prof specialty"	0	0	30
"340"	1185	"Private"	"Exec managerial"	0	0	30
"341"	1187	"Private"	"Other service"	0	0	30
"342"	1193	"Self emp not inc"	"Craft repair"	0	0	30
"343"	1302	"Private"	"Craft repair"	0	0	30
"344"	1319	NA	NA	0	0	30
"345"	1363	"Private"	"Adm clerical"	0	0	30
"346"	1401	"Private"	"Other service"	0	0	30
"347"	1423	"Private"	"Craft repair"	0	0	30
"348"	1428	"Private"	"Exec managerial"	0	0	30
"349"	1457	"Private"	"Handlers cleaners"	0	0	30
"350"	1560	"Private"	"Priv house serv"	0	0	30
"351"	1576	NA	NA	4064	0	30
"352"	1578	"Self emp not inc"	"Craft repair"	2290	0	30
"353"	1602	"Private"	"Other service"	0	0	30
"354"	1631	"Private"	"Adm clerical"	0	0	30
"355"	1637	"Private"	"Sales"	0	0	30
"356"	1642	"Private"	"Priv house serv"	0	0	30
"357"	1669	"Private"	"Sales"	0	0	30
"358"	1694	"Private"	"Prof specialty"	0	0	30
"359"	1714	"Private"	"Other service"	0	0	30
"360"	1731	"Private"	"Other service"	0	0	30
"361"	1736	"Private"	"Adm clerical"	0	0	30
"362"	1741	"Private"	"Machine op inspct"	0	0	30
"363"	1793	"Private"	"Sales"	0	0	30
"364"	1808	"Self emp not inc"	"Adm clerical"	4508	0	30
"365"	1859	"Private"	"Handlers cleaners"	0	0	30
"366"	1955	"Private"	"Transport moving"	0	0	30
"367"	1965	"Self emp not inc"	"Exec managerial"	0	0	30
"368"	1966	"Private"	"Other service"	0	0	30
"369"	2004	"Private"	"Other service"	0	0	30
"370"	2019	"Private"	"Adm clerical"	0	0	30
"371"	2040	"Private"	"Other service"	0	0	30
"372"	2087	"Local gov"	"Protective serv"	0	0	30
"373"	2088	"Private"	"Sales"	0	0	30
"374"	2117	"Private"	"Farming fishing"	0	0	30
"375"	2150	"Private"	"Priv house serv"	0	0	30
"376"	2174	"Private"	"Other service"	0	0	30
"377"	2179	"Private"	"Other service"	0	0	30
"378"	2357	"Self emp not inc"	"Craft repair"	0	0	30
"379"	2363	"Private"	"Transport moving"	0	0	30
"380"	2410	"Private"	"Other service"	0	0	30
"381"	2412	"Private"	"Other service"	0	0	30
"382"	2439	"Private"	"Craft repair"	0	0	30
"383"	2485	"Private"	"Handlers cleaners"	0	0	30
"384"	2510	"Private"	"Handlers cleaners"	0	0	30
"385"	2516	"Private"	"Handlers cleaners"	0	0	30
"386"	2529	"Private"	"Tech support"	0	0	30
"387"	2532	"Private"	"Handlers cleaners"	0	0	30
"388"	2563	"Private"	"Adm clerical"	0	0	30
"389"	2619	"Private"	"Tech support"	0	0	30
"390"	2647	"Private"	"Transport moving"	0	0	30
"391"	2659	"Self emp not inc"	"Exec managerial"	0	0	30
"392"	2701	"Self emp not inc"	"Craft repair"	0	0	30
"393"	2139	"Private"	"Exec managerial"	0	0	31
"394"	66	"Private"	"Farming fishing"	0	0	32
"395"	84	"Private"	"Other service"	0	0	32
"396"	606	"Self emp not inc"	"Prof specialty"	0	1977	32
"397"	659	NA	NA	0	0	32
"398"	684	"Private"	"Handlers cleaners"	0	0	32
"399"	1061	"Private"	"Other service"	0	0	32
"400"	1134	"Private"	"Craft repair"	0	0	32
"401"	1190	"Private"	"Adm clerical"	0	0	32
"402"	1229	"Private"	"Other service"	0	0	32
"403"	1498	"Private"	"Priv house serv"	0	0	32
"404"	1581	"Private"	"Sales"	0	0	32
"405"	1584	"Private"	"Transport moving"	0	0	32
"406"	1867	"Local gov"	"Other service"	0	0	32
"407"	1939	"Private"	"Machine op inspct"	0	0	32
"408"	1983	"Private"	"Sales"	0	0	32
"409"	2176	"Self emp not inc"	"Prof specialty"	0	0	32
"410"	2221	"Private"	"Sales"	0	0	32
"411"	2224	"Private"	"Craft repair"	0	2603	32
"412"	2276	"Private"	"Craft repair"	0	0	32
"413"	2331	"Private"	"Handlers cleaners"	0	0	32
"414"	2489	"Private"	"Other service"	0	0	32
"415"	2527	NA	NA	0	0	32
"416"	2545	NA	NA	0	0	32
"417"	2620	"Private"	"Priv house serv"	0	0	32
"418"	714	"Private"	"Adm clerical"	0	0	33
"419"	1316	"Private"	"Tech support"	0	0	33
"420"	1513	"Private"	"Craft repair"	0	0	33
"421"	2533	"Private"	"Other service"	0	0	33
"422"	1354	NA	NA	0	0	34
"423"	1487	"Private"	"Machine op inspct"	2062	0	34
"424"	2585	"Private"	"Other service"	0	0	34
"425"	31	"Private"	"Exec managerial"	7298	0	35
"426"	57	"Private"	"Exec managerial"	0	0	35
"427"	61	"Local gov"	"Adm clerical"	0	0	35
"428"	93	"Private"	"Craft repair"	0	0	35
"429"	117	"Private"	"Other service"	0	0	35
"430"	123	"Private"	"Farming fishing"	0	0	35
"431"	157	"Private"	"Craft repair"	0	0	35
"432"	189	"Self emp inc"	"Prof specialty"	0	2415	35
"433"	190	"Private"	"Sales"	0	0	35
"434"	200	NA	NA	0	0	35
"435"	233	"Private"	"Other service"	0	0	35
"436"	234	"Private"	"Craft repair"	0	0	35
"437"	237	"Private"	"Exec managerial"	0	0	35
"438"	315	"Private"	"Machine op inspct"	0	0	35
"439"	317	"Private"	"Adm clerical"	0	0	35
"440"	323	"Private"	"Other service"	0	0	35
"441"	335	"Private"	"Other service"	0	0	35
"442"	374	"Local gov"	"Prof specialty"	0	0	35
"443"	388	"Private"	"Other service"	0	0	35
"444"	398	"Private"	"Adm clerical"	0	0	35
"445"	405	"Private"	"Other service"	0	0	35
"446"	419	"Private"	"Farming fishing"	0	0	35
"447"	433	"Private"	"Exec managerial"	0	0	35
"448"	439	"Self emp inc"	"Exec managerial"	0	0	35
"449"	441	"Private"	"Adm clerical"	0	0	35
"450"	461	NA	NA	0	0	35
"451"	464	"Private"	"Other service"	0	0	35
"452"	473	"Private"	"Handlers cleaners"	0	0	35
"453"	515	"Private"	"Prof specialty"	20051	0	35
"454"	530	"Private"	"Exec managerial"	0	0	35
"455"	591	"Private"	"Adm clerical"	0	0	35
"456"	760	"Private"	"Other service"	0	0	35
"457"	814	"Private"	"Farming fishing"	0	0	35
"458"	829	"Private"	"Machine op inspct"	0	0	35
"459"	832	"Private"	"Adm clerical"	0	0	35
"460"	842	"Private"	"Craft repair"	0	0	35
"461"	860	"Private"	"Prof specialty"	0	0	35
"462"	864	"Self emp not inc"	"Adm clerical"	0	0	35
"463"	877	"Private"	"Other service"	0	0	35
"464"	879	"Private"	"Handlers cleaners"	0	0	35
"465"	894	"Private"	"Adm clerical"	0	0	35
"466"	910	"Private"	"Other service"	0	0	35
"467"	926	"Private"	"Prof specialty"	0	0	35
"468"	932	"Private"	"Other service"	0	0	35
"469"	998	NA	NA	0	0	35
"470"	999	"Private"	"Craft repair"	0	0	35
"471"	1009	"Private"	"Other service"	0	0	35
"472"	1021	"Local gov"	"Prof specialty"	0	0	35
"473"	1055	"Private"	"Other service"	0	0	35
"474"	1074	"Private"	"Prof specialty"	0	0	35
"475"	1083	"Private"	"Craft repair"	0	0	35
"476"	1121	"Private"	"Sales"	0	0	35
"477"	1143	"Self emp not inc"	"Sales"	0	0	35
"478"	1165	"Private"	"Priv house serv"	0	0	35
"479"	1184	"Federal gov"	"Adm clerical"	0	0	35
"480"	1197	"Private"	"Other service"	0	0	35
"481"	1200	"Private"	"Tech support"	14084	0	35
"482"	1247	"Private"	"Exec managerial"	0	0	35
"483"	1251	"Private"	"Other service"	2202	0	35
"484"	1261	"Private"	"Farming fishing"	0	0	35
"485"	1266	"Private"	"Other service"	0	0	35
"486"	1276	"Private"	"Craft repair"	0	0	35
"487"	1292	"Private"	"Other service"	0	0	35
"488"	1345	"Self emp not inc"	"Prof specialty"	0	0	35
"489"	1357	"Local gov"	"Craft repair"	0	0	35
"490"	1406	NA	NA	0	0	35
"491"	1414	"Private"	"Handlers cleaners"	0	0	35
"492"	1438	"Private"	"Priv house serv"	0	0	35
"493"	1469	"Private"	"Adm clerical"	0	0	35
"494"	1471	"Private"	"Farming fishing"	0	0	35
"495"	1472	"Private"	"Priv house serv"	0	0	35
"496"	1489	"Private"	"Exec managerial"	0	0	35
"497"	1524	"Private"	"Protective serv"	0	0	35
"498"	1526	"Local gov"	"Adm clerical"	0	0	35
"499"	1538	"Private"	"Sales"	0	0	35
"500"	1542	"Private"	"Craft repair"	0	0	35
"501"	1546	"Self emp not inc"	"Craft repair"	0	0	35
"502"	1550	"Local gov"	"Tech support"	0	0	35
"503"	1564	"Private"	"Sales"	0	0	35
"504"	1572	"Private"	"Priv house serv"	0	0	35
"505"	1573	"Private"	"Other service"	0	0	35
"506"	1592	"Private"	"Sales"	0	0	35
"507"	1596	"Private"	"Exec managerial"	0	0	35
"508"	1612	"Private"	"Adm clerical"	0	0	35
"509"	1632	"Private"	"Prof specialty"	0	0	35
"510"	1692	"Self emp not inc"	"Craft repair"	0	0	35
"511"	1705	"Local gov"	"Adm clerical"	0	0	35
"512"	1715	"Private"	"Other service"	0	0	35
"513"	1718	"Self emp inc"	"Transport moving"	0	0	35
"514"	1733	"Private"	"Craft repair"	0	0	35
"515"	1756	"Private"	"Adm clerical"	0	0	35
"516"	1767	"Private"	"Other service"	0	0	35
"517"	1781	"Private"	"Other service"	0	0	35
"518"	1794	"Private"	"Machine op inspct"	0	0	35
"519"	1797	"Self emp not inc"	"Exec managerial"	0	0	35
"520"	1807	"Private"	"Adm clerical"	0	2415	35
"521"	1813	"Private"	"Craft repair"	0	0	35
"522"	1821	"Private"	"Adm clerical"	0	0	35
"523"	1863	"Private"	"Craft repair"	0	0	35
"524"	1868	"Private"	"Handlers cleaners"	0	0	35
"525"	1886	"Private"	"Craft repair"	0	0	35
"526"	1901	"Private"	"Farming fishing"	0	0	35
"527"	1938	"Local gov"	"Other service"	0	0	35
"528"	1985	"Private"	"Exec managerial"	0	0	35
"529"	2027	"Private"	"Craft repair"	0	0	35
"530"	2038	"Private"	"Farming fishing"	0	0	35
"531"	2044	"Private"	"Machine op inspct"	0	0	35
"532"	2074	"Self emp inc"	"Other service"	0	0	35
"533"	2083	"Self emp inc"	"Exec managerial"	0	0	35
"534"	2129	"Private"	"Other service"	0	0	35
"535"	2154	"Private"	"Machine op inspct"	3411	0	35
"536"	2204	"Private"	"Farming fishing"	0	0	35
"537"	2222	"Local gov"	"Prof specialty"	20051	0	35
"538"	2244	"Private"	"Other service"	0	0	35
"539"	2245	"Private"	"Other service"	0	0	35
"540"	2251	"Private"	"Exec managerial"	0	1579	35
"541"	2327	"Local gov"	"Adm clerical"	0	0	35
"542"	2418	"Local gov"	"Other service"	0	0	35
"543"	2424	"Private"	"Other service"	0	0	35
"544"	2463	NA	NA	0	0	35
"545"	2488	NA	NA	0	1719	35
"546"	2494	"Private"	"Adm clerical"	0	0	35
"547"	2505	"Private"	"Machine op inspct"	0	0	35
