"id"	"age"	"gender"	"education"	"marital_status"	"relationship"	"ethnicity"
"32"	2265	18	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"33"	2353	18	"Male"	"HS to grad"	"Married spouse absent"	"Own child"	"Black"
"34"	2409	18	"Female"	"7th to 8th"	"Never married"	"Other relative"	"Asian Pac Islander"
"35"	2441	18	"Male"	"11th"	"Never married"	"Own child"	"Asian Pac Islander"
"36"	15	19	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"37"	21	19	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"38"	27	19	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"39"	34	19	"Male"	"HS to grad"	"Never married"	"Unmarried"	"Black"
"40"	118	19	"Female"	"Bachelors"	"Never married"	"Own child"	"Black"
"41"	206	19	"Male"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"42"	213	19	"Male"	"11th"	"Never married"	"Own child"	"White"
"43"	244	19	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"44"	286	19	"Male"	"7th to 8th"	"Never married"	"Not in family"	"White"
"45"	361	19	"Female"	"HS to grad"	"Never married"	"Other relative"	"Asian Pac Islander"
"46"	476	19	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"47"	580	19	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"48"	625	19	"Male"	"7th to 8th"	"Never married"	"Unmarried"	"White"
"49"	703	19	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"50"	787	19	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"51"	798	19	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"52"	854	19	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"53"	1260	19	"Female"	"11th"	"Never married"	"Own child"	"Asian Pac Islander"
"54"	1298	19	"Female"	"11th"	"Married civ spouse"	"Wife"	"Asian Pac Islander"
"55"	1306	19	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"56"	1345	19	"Male"	"9th"	"Never married"	"Not in family"	"White"
"57"	1362	19	"Female"	"Some to college"	"Never married"	"Other relative"	"White"
"58"	1363	19	"Male"	"Some to college"	"Never married"	"Other relative"	"White"
"59"	1445	19	"Female"	"HS to grad"	"Divorced"	"Not in family"	"White"
"60"	1600	19	"Male"	"12th"	"Never married"	"Own child"	"White"
"61"	1834	19	"Female"	"HS to grad"	"Never married"	"Other relative"	"Other"
"62"	1898	19	"Female"	"11th"	"Never married"	"Own child"	"Amer Indian Eskimo"
"63"	1972	19	"Male"	"7th to 8th"	"Married civ spouse"	"Own child"	"White"
"64"	1982	19	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"65"	1983	19	"Female"	"11th"	"Never married"	"Own child"	"Other"
"66"	1996	19	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"67"	2028	19	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"68"	2052	19	"Male"	"9th"	"Never married"	"Other relative"	"White"
"69"	2067	19	"Female"	"12th"	"Never married"	"Not in family"	"Asian Pac Islander"
"70"	2074	19	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"71"	2134	19	"Male"	"Preschool"	"Never married"	"Not in family"	"White"
"72"	2193	19	"Female"	"HS to grad"	"Never married"	"Own child"	"Other"
"73"	2227	19	"Male"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"74"	2275	19	"Male"	"1st to 4th"	"Never married"	"Other relative"	"White"
"75"	2294	19	"Female"	"11th"	"Never married"	"Not in family"	"White"
"76"	2295	19	"Male"	"Some to college"	"Never married"	"Not in family"	"White"
"77"	2400	19	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"78"	2452	19	"Male"	"1st to 4th"	"Never married"	"Not in family"	"White"
"79"	2481	19	"Male"	"1st to 4th"	"Never married"	"Other relative"	"White"
"80"	2488	19	"Male"	"9th"	"Never married"	"Other relative"	"White"
"81"	2575	19	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"82"	54	20	"Female"	"11th"	"Married spouse absent"	"Own child"	"Asian Pac Islander"
"83"	153	20	"Female"	"12th"	"Never married"	"Own child"	"White"
"84"	214	20	"Female"	"9th"	"Never married"	"Own child"	"White"
"85"	248	20	"Male"	"5th to 6th"	"Married spouse absent"	"Other relative"	"White"
"86"	332	20	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"87"	341	20	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"88"	370	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"89"	377	20	"Female"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"90"	408	20	"Female"	"Some to college"	"Never married"	"Unmarried"	"Asian Pac Islander"
"91"	451	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"92"	479	20	"Male"	"9th"	"Never married"	"Own child"	"White"
"93"	528	20	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"94"	529	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"95"	571	20	"Female"	"HS to grad"	"Married civ spouse"	"Wife"	"White"
"96"	573	20	"Female"	"HS to grad"	"Married civ spouse"	"Wife"	"White"
"97"	595	20	"Female"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"98"	619	20	"Female"	"7th to 8th"	"Never married"	"Other relative"	"White"
"99"	629	20	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"100"	728	20	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"101"	755	20	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"102"	770	20	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"103"	801	20	"Male"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"104"	847	20	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"105"	862	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"106"	897	20	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"107"	926	20	"Female"	"12th"	"Never married"	"Not in family"	"White"
"108"	929	20	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"109"	1181	20	"Female"	"Some to college"	"Never married"	"Own child"	"Black"
"110"	1364	20	"Male"	"HS to grad"	"Never married"	"Other relative"	"Other"
"111"	1563	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"112"	1570	20	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"113"	1604	20	"Male"	"HS to grad"	"Never married"	"Own child"	"Other"
"114"	1637	20	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"115"	1771	20	"Female"	"Some to college"	"Never married"	"Not in family"	"White"
"116"	1860	20	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"117"	1870	20	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"118"	2058	20	"Female"	"9th"	"Never married"	"Other relative"	"White"
"119"	2087	20	"Male"	"HS to grad"	"Married civ spouse"	"Husband"	"Black"
"120"	2116	20	"Male"	"11th"	"Never married"	"Other relative"	"White"
"121"	2117	20	"Male"	"1st to 4th"	"Never married"	"Not in family"	"White"
"122"	2156	20	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"123"	2174	20	"Male"	"9th"	"Never married"	"Unmarried"	"White"
"124"	2203	20	"Female"	"HS to grad"	"Never married"	"Unmarried"	"White"
"125"	2244	20	"Male"	"10th"	"Never married"	"Other relative"	"White"
"126"	2331	20	"Male"	"11th"	"Never married"	"Not in family"	"White"
"127"	2432	20	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"128"	2438	20	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"129"	2482	20	"Male"	"11th"	"Married civ spouse"	"Own child"	"White"
"130"	2519	20	"Male"	"11th"	"Never married"	"Unmarried"	"White"
"131"	2532	20	"Male"	"5th to 6th"	"Never married"	"Unmarried"	"White"
"132"	2533	20	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"133"	2563	20	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"134"	2565	20	"Male"	"Some to college"	"Never married"	"Own child"	"Black"
"135"	138	21	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"136"	241	21	"Female"	"Some to college"	"Never married"	"Other relative"	"White"
"137"	269	21	"Female"	"11th"	"Never married"	"Other relative"	"White"
"138"	303	21	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"139"	317	21	"Female"	"HS to grad"	"Never married"	"Own child"	"Black"
"140"	323	21	"Male"	"Assoc to acdm"	"Never married"	"Not in family"	"Black"
"141"	347	21	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"142"	385	21	"Male"	"7th to 8th"	"Never married"	"Other relative"	"White"
"143"	463	21	"Male"	"HS to grad"	"Never married"	"Unmarried"	"White"
"144"	567	21	"Female"	"Some to college"	"Never married"	"Not in family"	"White"
"145"	592	21	"Male"	"Some to college"	"Never married"	"Own child"	"Black"
"146"	691	21	"Male"	"Preschool"	"Never married"	"Not in family"	"White"
"147"	745	21	"Female"	"5th to 6th"	"Never married"	"Not in family"	"White"
"148"	842	21	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"149"	998	21	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"150"	1071	21	"Male"	"11th"	"Married civ spouse"	"Husband"	"White"
"151"	1072	21	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"152"	1080	21	"Male"	"HS to grad"	"Married civ spouse"	"Own child"	"White"
"153"	1221	21	"Male"	"Bachelors"	"Never married"	"Not in family"	"White"
"154"	1275	21	"Male"	"Preschool"	"Never married"	"Not in family"	"White"
"155"	1310	21	"Male"	"Some to college"	"Never married"	"Not in family"	"Black"
"156"	1331	21	"Female"	"9th"	"Never married"	"Own child"	"White"
"157"	1336	21	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"158"	1338	21	"Female"	"HS to grad"	"Married spouse absent"	"Own child"	"White"
"159"	1341	21	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"160"	1392	21	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"161"	1413	21	"Male"	"10th"	"Never married"	"Not in family"	"Other"
"162"	1423	21	"Male"	"9th"	"Never married"	"Own child"	"White"
"163"	1451	21	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"164"	1508	21	"Male"	"11th"	"Married spouse absent"	"Own child"	"White"
"165"	1573	21	"Male"	"9th"	"Never married"	"Unmarried"	"White"
"166"	1601	21	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"167"	1655	21	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"168"	1658	21	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"169"	1736	21	"Male"	"Some to college"	"Never married"	"Other relative"	"White"
"170"	1737	21	"Male"	"9th"	"Never married"	"Other relative"	"White"
"171"	1779	21	"Female"	"Some to college"	"Never married"	"Other relative"	"White"
"172"	1808	21	"Female"	"12th"	"Married civ spouse"	"Wife"	"White"
"173"	1890	21	"Female"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"174"	1935	21	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"175"	1963	21	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"176"	2019	21	"Female"	"Some to college"	"Never married"	"Not in family"	"White"
"177"	2048	21	"Male"	"9th"	"Never married"	"Not in family"	"White"
"178"	2079	21	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"179"	2088	21	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"180"	2155	21	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"181"	2187	21	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"182"	2194	21	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"183"	2371	21	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"184"	2390	21	"Male"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"185"	2534	21	"Male"	"11th"	"Never married"	"Own child"	"White"
"186"	2538	21	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"187"	2546	21	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"188"	2550	21	"Female"	"Some to college"	"Never married"	"Own child"	"Other"
"189"	2567	21	"Female"	"Assoc to voc"	"Married civ spouse"	"Other relative"	"White"
"190"	2595	21	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"191"	2616	21	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"192"	28	22	"Female"	"Bachelors"	"Never married"	"Not in family"	"White"
"193"	32	22	"Female"	"5th to 6th"	"Married civ spouse"	"Other relative"	"White"
"194"	65	22	"Female"	"Some to college"	"Married civ spouse"	"Wife"	"White"
"195"	85	22	"Male"	"Bachelors"	"Never married"	"Own child"	"Asian Pac Islander"
"196"	87	22	"Male"	"Bachelors"	"Never married"	"Own child"	"Asian Pac Islander"
"197"	136	22	"Female"	"HS to grad"	"Never married"	"Unmarried"	"White"
"198"	141	22	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"199"	229	22	"Female"	"HS to grad"	"Divorced"	"Unmarried"	"White"
"200"	305	22	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"201"	355	22	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"202"	399	22	"Female"	"Assoc to voc"	"Never married"	"Other relative"	"White"
"203"	423	22	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"204"	454	22	"Female"	"Bachelors"	"Never married"	"Not in family"	"Asian Pac Islander"
"205"	496	22	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"206"	507	22	"Female"	"Some to college"	"Never married"	"Other relative"	"Black"
"207"	511	22	"Male"	"Some to college"	"Married civ spouse"	"Husband"	"White"
"208"	513	22	"Female"	"5th to 6th"	"Married civ spouse"	"Wife"	"Other"
"209"	574	22	"Female"	"HS to grad"	"Never married"	"Unmarried"	"White"
"210"	578	22	"Female"	"Some to college"	"Divorced"	"Own child"	"White"
"211"	650	22	"Male"	"Some to college"	"Never married"	"Other relative"	"White"
"212"	784	22	"Male"	"7th to 8th"	"Married civ spouse"	"Husband"	"White"
"213"	799	22	"Female"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"214"	845	22	"Female"	"5th to 6th"	"Never married"	"Other relative"	"White"
"215"	867	22	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"216"	952	22	"Male"	"Some to college"	"Never married"	"Own child"	"Black"
"217"	986	22	"Male"	"Bachelors"	"Never married"	"Own child"	"White"
"218"	1012	22	"Female"	"HS to grad"	"Never married"	"Unmarried"	"White"
"219"	1055	22	"Male"	"9th"	"Married spouse absent"	"Other relative"	"White"
"220"	1065	22	"Female"	"Some to college"	"Divorced"	"Own child"	"Asian Pac Islander"
"221"	1075	22	"Male"	"1st to 4th"	"Never married"	"Not in family"	"White"
"222"	1077	22	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"223"	1207	22	"Female"	"HS to grad"	"Never married"	"Other relative"	"White"
"224"	1223	22	"Male"	"9th"	"Never married"	"Unmarried"	"White"
"225"	1233	22	"Male"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"226"	1267	22	"Male"	"Some to college"	"Never married"	"Other relative"	"Black"
"227"	1369	22	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"228"	1373	22	"Female"	"7th to 8th"	"Never married"	"Unmarried"	"White"
"229"	1419	22	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"230"	1448	22	"Male"	"5th to 6th"	"Married civ spouse"	"Other relative"	"White"
"231"	1483	22	"Male"	"1st to 4th"	"Never married"	"Not in family"	"White"
"232"	1520	22	"Female"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"233"	1526	22	"Female"	"Assoc to acdm"	"Never married"	"Own child"	"Black"
"234"	1532	22	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"235"	1662	22	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"236"	1761	22	"Female"	"Bachelors"	"Never married"	"Own child"	"Asian Pac Islander"
"237"	1786	22	"Male"	"HS to grad"	"Never married"	"Unmarried"	"Other"
"238"	1835	22	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"239"	1851	22	"Female"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"240"	1933	22	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"241"	2014	22	"Female"	"HS to grad"	"Never married"	"Unmarried"	"White"
"242"	2029	22	"Male"	"9th"	"Never married"	"Own child"	"Asian Pac Islander"
"243"	2119	22	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"244"	2125	22	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"245"	2197	22	"Male"	"Assoc to acdm"	"Never married"	"Own child"	"Black"
"246"	2199	22	"Female"	"7th to 8th"	"Never married"	"Unmarried"	"White"
"247"	2200	22	"Male"	"10th"	"Never married"	"Not in family"	"White"
"248"	2230	22	"Female"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"249"	2291	22	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"250"	2382	22	"Female"	"Some to college"	"Married spouse absent"	"Own child"	"Other"
"251"	2435	22	"Male"	"Assoc to voc"	"Never married"	"Unmarried"	"Asian Pac Islander"
"252"	2445	22	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"253"	2503	22	"Female"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"254"	2541	22	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"255"	2543	22	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"256"	2583	22	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"257"	2626	22	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"258"	2640	22	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"259"	2676	22	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"260"	2677	22	"Female"	"Some to college"	"Never married"	"Unmarried"	"Black"
"261"	20	23	"Male"	"5th to 6th"	"Married civ spouse"	"Other relative"	"White"
"262"	39	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"263"	43	23	"Male"	"5th to 6th"	"Never married"	"Own child"	"White"
"264"	44	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"265"	75	23	"Female"	"HS to grad"	"Married civ spouse"	"Wife"	"White"
"266"	171	23	"Male"	"12th"	"Never married"	"Own child"	"White"
"267"	177	23	"Male"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"268"	183	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"269"	211	23	"Male"	"7th to 8th"	"Never married"	"Not in family"	"White"
"270"	250	23	"Male"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"271"	289	23	"Female"	"Some to college"	"Never married"	"Own child"	"Black"
"272"	290	23	"Female"	"HS to grad"	"Never married"	"Not in family"	"White"
"273"	300	23	"Female"	"9th"	"Never married"	"Other relative"	"White"
"274"	310	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"275"	330	23	"Male"	"Bachelors"	"Never married"	"Not in family"	"Asian Pac Islander"
"276"	335	23	"Female"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"277"	337	23	"Male"	"HS to grad"	"Never married"	"Own child"	"Black"
"278"	389	23	"Male"	"9th"	"Married spouse absent"	"Not in family"	"White"
"279"	397	23	"Male"	"7th to 8th"	"Never married"	"Unmarried"	"Other"
"280"	415	23	"Female"	"Bachelors"	"Never married"	"Other relative"	"White"
"281"	416	23	"Female"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"282"	433	23	"Female"	"Bachelors"	"Never married"	"Not in family"	"White"
"283"	442	23	"Male"	"HS to grad"	"Married civ spouse"	"Husband"	"Other"
"284"	455	23	"Female"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"285"	468	23	"Male"	"11th"	"Never married"	"Other relative"	"White"
"286"	495	23	"Male"	"Some to college"	"Married civ spouse"	"Other relative"	"White"
"287"	521	23	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"288"	558	23	"Male"	"9th"	"Never married"	"Other relative"	"White"
"289"	594	23	"Male"	"7th to 8th"	"Never married"	"Not in family"	"White"
"290"	627	23	"Female"	"Some to college"	"Married spouse absent"	"Own child"	"White"
"291"	630	23	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"292"	678	23	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"293"	684	23	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"294"	729	23	"Male"	"11th"	"Never married"	"Own child"	"Asian Pac Islander"
"295"	760	23	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"296"	790	23	"Male"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"297"	791	23	"Female"	"Assoc to acdm"	"Never married"	"Own child"	"White"
"298"	800	23	"Male"	"Some to college"	"Married civ spouse"	"Husband"	"Asian Pac Islander"
"299"	885	23	"Male"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"300"	955	23	"Male"	"Some to college"	"Never married"	"Own child"	"Black"
"301"	965	23	"Male"	"9th"	"Never married"	"Own child"	"Asian Pac Islander"
"302"	975	23	"Female"	"HS to grad"	"Never married"	"Other relative"	"Black"
"303"	989	23	"Female"	"11th"	"Never married"	"Other relative"	"White"
"304"	1000	23	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"305"	1096	23	"Male"	"Assoc to acdm"	"Married civ spouse"	"Husband"	"White"
"306"	1117	23	"Male"	"10th"	"Never married"	"Unmarried"	"White"
"307"	1162	23	"Male"	"5th to 6th"	"Married civ spouse"	"Husband"	"White"
"308"	1175	23	"Female"	"HS to grad"	"Never married"	"Other relative"	"Asian Pac Islander"
"309"	1176	23	"Female"	"5th to 6th"	"Never married"	"Unmarried"	"White"
"310"	1216	23	"Female"	"HS to grad"	"Never married"	"Unmarried"	"Other"
"311"	1226	23	"Male"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"312"	1272	23	"Male"	"11th"	"Married civ spouse"	"Husband"	"White"
"313"	1287	23	"Male"	"Bachelors"	"Never married"	"Not in family"	"Amer Indian Eskimo"
"314"	1303	23	"Male"	"Some to college"	"Never married"	"Unmarried"	"Asian Pac Islander"
"315"	1309	23	"Male"	"Assoc to acdm"	"Never married"	"Own child"	"Asian Pac Islander"
"316"	1340	23	"Male"	"10th"	"Married civ spouse"	"Husband"	"White"
"317"	1613	23	"Female"	"7th to 8th"	"Never married"	"Own child"	"Black"
"318"	1622	23	"Female"	"Assoc to acdm"	"Married civ spouse"	"Wife"	"White"
"319"	1652	23	"Male"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"320"	1656	23	"Male"	"Assoc to acdm"	"Never married"	"Own child"	"White"
"321"	1713	23	"Male"	"HS to grad"	"Divorced"	"Not in family"	"White"
"322"	1729	23	"Male"	"HS to grad"	"Married civ spouse"	"Husband"	"White"
"323"	1741	23	"Male"	"12th"	"Never married"	"Other relative"	"White"
"324"	1746	23	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"325"	1780	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"326"	1798	23	"Male"	"HS to grad"	"Never married"	"Own child"	"Asian Pac Islander"
"327"	1814	23	"Male"	"HS to grad"	"Never married"	"Other relative"	"Asian Pac Islander"
"328"	1817	23	"Male"	"Assoc to voc"	"Never married"	"Own child"	"Asian Pac Islander"
"329"	1915	23	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"330"	1934	23	"Male"	"Some to college"	"Never married"	"Own child"	"White"
"331"	1990	23	"Male"	"7th to 8th"	"Never married"	"Not in family"	"White"
"332"	2025	23	"Male"	"Some to college"	"Never married"	"Own child"	"Other"
"333"	2044	23	"Male"	"9th"	"Never married"	"Other relative"	"White"
"334"	2073	23	"Female"	"Preschool"	"Never married"	"Not in family"	"Asian Pac Islander"
"335"	2128	23	"Male"	"5th to 6th"	"Never married"	"Not in family"	"White"
"336"	2168	23	"Male"	"HS to grad"	"Never married"	"Unmarried"	"White"
"337"	2252	23	"Male"	"11th"	"Never married"	"Own child"	"White"
"338"	2279	23	"Female"	"HS to grad"	"Divorced"	"Own child"	"White"
"339"	2297	23	"Male"	"Some to college"	"Never married"	"Not in family"	"Asian Pac Islander"
"340"	2305	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"341"	2402	23	"Male"	"Some to college"	"Never married"	"Other relative"	"Asian Pac Islander"
"342"	2407	23	"Male"	"11th"	"Married civ spouse"	"Husband"	"White"
"343"	2420	23	"Male"	"HS to grad"	"Never married"	"Not in family"	"White"
"344"	2424	23	"Male"	"Some to college"	"Never married"	"Unmarried"	"White"
"345"	2425	23	"Female"	"7th to 8th"	"Never married"	"Not in family"	"White"
"346"	2444	23	"Male"	"Bachelors"	"Never married"	"Not in family"	"White"
"347"	2496	23	"Female"	"Some to college"	"Never married"	"Not in family"	"White"
"348"	2510	23	"Female"	"7th to 8th"	"Married civ spouse"	"Other relative"	"Other"
"349"	2515	23	"Female"	"10th"	"Married civ spouse"	"Own child"	"Asian Pac Islander"
